timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1591033171,Mon Jun 01 2020 17:39:31 GMT+0000 (Coordinated Universal Time),28,23,1,0,-1,"Yes they do but the government need to be clear about these policies"
1591033106,Mon Jun 01 2020 17:38:26 GMT+0000 (Coordinated Universal Time),27,23,1,0,-1,"I totally agree with this statement"
1591033067,Mon Jun 01 2020 17:37:47 GMT+0000 (Coordinated Universal Time),26,23,1,0,-1,"The NHS is really struggling and need more funds"
1591033276,Mon Jun 01 2020 17:41:16 GMT+0000 (Coordinated Universal Time),29,23,737,687,1,"Racism is at an all time high and new punishments should be put in place for racist people"
1591033037,Mon Jun 01 2020 17:37:17 GMT+0000 (Coordinated Universal Time),25,22,603,33,1,"There should be more funding for the NHS, but spending should also be managed better throughout the whole service"
1591034089,Mon Jun 01 2020 17:54:49 GMT+0000 (Coordinated Universal Time),34,27,430,229,1,"Feed the world"
1591034066,Mon Jun 01 2020 17:54:26 GMT+0000 (Coordinated Universal Time),33,28,764,583,1,"The UK is slowly becoming more and more right wing"
1591033991,Mon Jun 01 2020 17:53:11 GMT+0000 (Coordinated Universal Time),31,27,421,357,1,"Compulsory voting"
1591034114,Mon Jun 01 2020 17:55:14 GMT+0000 (Coordinated Universal Time),35,27,1,0,-1,"Everyone should vote"
1591034013,Mon Jun 01 2020 17:53:33 GMT+0000 (Coordinated Universal Time),32,27,1,0,-1,"Fine non-voters"
1591034599,Mon Jun 01 2020 18:03:19 GMT+0000 (Coordinated Universal Time),38,29,198,220,1,"Decriminalise drugs to reduce violent crime"
1591034482,Mon Jun 01 2020 18:01:22 GMT+0000 (Coordinated Universal Time),37,30,1,0,-1,"I gave my honest opinions above, back there also."
1591034633,Mon Jun 01 2020 18:03:53 GMT+0000 (Coordinated Universal Time),39,31,522,59,1,"We need more compassion and kindness in politics."
1591034434,Mon Jun 01 2020 18:00:34 GMT+0000 (Coordinated Universal Time),36,29,1,0,-1,"Brexit is the result of already existing racism and discrimination"
1591035257,Mon Jun 01 2020 18:14:17 GMT+0000 (Coordinated Universal Time),42,36,1,0,-1,"i agree with most"
1591034983,Mon Jun 01 2020 18:09:43 GMT+0000 (Coordinated Universal Time),40,32,1,0,-1,"i think britain just need more love and care concerning everybody to make it a great nation"
1591104329,Tue Jun 02 2020 13:25:29 GMT+0000 (Coordinated Universal Time),261,149,1,0,-1,"what brexit talks"
1591035312,Mon Jun 01 2020 18:15:12 GMT+0000 (Coordinated Universal Time),43,35,1354,640,1,"Current Government have mishandled the Covid epidemic."
1591035169,Mon Jun 01 2020 18:12:49 GMT+0000 (Coordinated Universal Time),41,34,511,512,1,"should China pay for this covid19 situation"
1591035977,Mon Jun 01 2020 18:26:17 GMT+0000 (Coordinated Universal Time),44,38,1,0,-1,"No it is not,  Its is the media.  Does this statement include racist attacks on white people?"
1591036180,Mon Jun 01 2020 18:29:40 GMT+0000 (Coordinated Universal Time),45,39,1,0,-1,"we need to tackle these issues to make Britain a better place"
1591036868,Mon Jun 01 2020 18:41:08 GMT+0000 (Coordinated Universal Time),48,42,1,0,-1,"no idea"
1591036851,Mon Jun 01 2020 18:40:51 GMT+0000 (Coordinated Universal Time),47,42,1,0,-1,"unsure"
1591037569,Mon Jun 01 2020 18:52:49 GMT+0000 (Coordinated Universal Time),54,49,1,0,-1,"I think this is a good sentiment but unrealistic how many third world countries are run by corrupt regimes who waste or steal aid money"
1591037511,Mon Jun 01 2020 18:51:51 GMT+0000 (Coordinated Universal Time),53,48,1,0,-1,"I don't think Brexit caused more racism in this country, though it did, to extent, emphasise we still have a problem"
1591036916,Mon Jun 01 2020 18:41:56 GMT+0000 (Coordinated Universal Time),51,44,1,0,-1,"health service"
1591038228,Mon Jun 01 2020 19:03:48 GMT+0000 (Coordinated Universal Time),60,49,1,0,-1,"one man's truth is another man's lie"
1591037638,Mon Jun 01 2020 18:53:58 GMT+0000 (Coordinated Universal Time),55,50,1,0,-1,"I think inequality is the basis of all issues in our country"
1591037401,Mon Jun 01 2020 18:50:01 GMT+0000 (Coordinated Universal Time),52,47,1,0,-1,"inequality is at an all time high"
1591038615,Mon Jun 01 2020 19:10:15 GMT+0000 (Coordinated Universal Time),66,49,860,306,1,"there should be harsher penalties for ""everyone"" who does not adhere to covid protection policies"
1591038519,Mon Jun 01 2020 19:08:39 GMT+0000 (Coordinated Universal Time),65,49,1244,861,1,"this Government is culpable for the highcovid death toll in this country"
1591038458,Mon Jun 01 2020 19:07:38 GMT+0000 (Coordinated Universal Time),64,54,1,0,-1,"nsa"
1591039127,Mon Jun 01 2020 19:18:47 GMT+0000 (Coordinated Universal Time),74,56,538,60,1,"I'm most concerned that we should build on the increase of community awareness following the pandemic"
1591039053,Mon Jun 01 2020 19:17:33 GMT+0000 (Coordinated Universal Time),72,58,1,0,-1,"All good"
1591038971,Mon Jun 01 2020 19:16:11 GMT+0000 (Coordinated Universal Time),70,49,319,96,1,"The UK is more polarized than ever between the far left and far right"
1591038135,Mon Jun 01 2020 19:02:15 GMT+0000 (Coordinated Universal Time),59,49,1250,794,1,"the leave campaign tapped into xenophobia and racism towards migrant workers"
1591036873,Mon Jun 01 2020 18:41:13 GMT+0000 (Coordinated Universal Time),49,44,1,0,-1,"older care"
1591036895,Mon Jun 01 2020 18:41:35 GMT+0000 (Coordinated Universal Time),50,44,136,23,1,"economy"
1591040759,Mon Jun 01 2020 19:45:59 GMT+0000 (Coordinated Universal Time),88,69,608,54,1,"Better pay for carers who are the forgotten people"
1591037789,Mon Jun 01 2020 18:56:29 GMT+0000 (Coordinated Universal Time),56,49,1,0,-1,"I agree with this as they hid evidence of this virus when it could have been contained spreading to other countries"
1591037903,Mon Jun 01 2020 18:58:23 GMT+0000 (Coordinated Universal Time),57,49,1,0,-1,"we need to slow down or reduce the effects of climate change for future generations"
1591038406,Mon Jun 01 2020 19:06:46 GMT+0000 (Coordinated Universal Time),62,53,1,0,-1,"I’m not saying homelessness is not going on but their are beggars that aren’t genuine  For those that are genuinely homeless this is an"
1591040422,Mon Jun 01 2020 19:40:22 GMT+0000 (Coordinated Universal Time),82,63,1166,327,1,"Increase taxes on the richest"
1591040295,Mon Jun 01 2020 19:38:15 GMT+0000 (Coordinated Universal Time),81,63,1,0,-1,"Rise taxes"
1591039656,Mon Jun 01 2020 19:27:36 GMT+0000 (Coordinated Universal Time),79,59,1,0,-1,"I have no opinion."
1591039426,Mon Jun 01 2020 19:23:46 GMT+0000 (Coordinated Universal Time),77,49,1232,1075,1,"we should drastically cut our foreign aid budget"
